                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                0.21436,                0.36009,                0.91221,                      1,             0.00049083
                      1,                0.16157,                0.38335,                0.81481,                      1,             0.00048167
                      2,                0.13854,                0.09792,                0.96982,                      1,              0.0004725
                      3,                 0.1313,               0.054328,                0.99726,                      1,             0.00046333
                      4,                0.12162,               0.059329,                0.99726,                      1,             0.00045417
                      5,                0.11865,               0.057276,                0.99314,                      1,               0.000445
                      6,                0.10788,               0.065236,                0.98903,                      1,             0.00043583
                      7,                0.12266,               0.057348,                0.99588,                      1,             0.00042667
                      8,                0.10811,               0.054344,                0.99726,                      1,              0.0004175
                      9,                0.11691,               0.052908,                0.99451,                      1,             0.00040833
                     10,               0.098655,               0.052628,                0.99588,                      1,             0.00039917
                     11,                0.10323,               0.049649,                0.99588,                      1,                0.00039
                     12,                0.10656,               0.049307,                0.99726,                      1,             0.00038083
                     13,               0.096932,               0.061481,                0.98628,                      1,             0.00037167
                     14,               0.093835,               0.046779,                0.99863,                      1,              0.0003625
                     15,               0.092675,               0.052564,                0.99726,                      1,             0.00035333
                     16,               0.093098,               0.053363,                0.99451,                      1,             0.00034417
                     17,                0.09687,               0.049877,                0.99588,                      1,               0.000335
                     18,               0.092251,               0.046883,                0.99726,                      1,             0.00032583
                     19,               0.086991,               0.043419,                0.99863,                      1,             0.00031667
                     20,               0.087825,               0.046874,                0.99726,                      1,              0.0003075
                     21,               0.083752,               0.043246,                0.99863,                      1,             0.00029833
                     22,               0.084904,               0.045486,                0.99726,                      1,             0.00028917
                     23,               0.079492,               0.044808,                0.99726,                      1,                0.00028
                     24,               0.080084,               0.045369,                0.99726,                      1,             0.00027083
                     25,               0.075527,               0.044177,                0.99863,                      1,             0.00026167
                     26,               0.075808,               0.042589,                0.99863,                      1,              0.0002525
                     27,               0.075508,               0.042492,                0.99863,                      1,             0.00024333
                     28,               0.078085,               0.042422,                0.99726,                      1,             0.00023417
                     29,               0.069392,               0.041586,                0.99863,                      1,               0.000225
                     30,               0.070662,               0.041617,                0.99863,                      1,             0.00021583
                     31,                  0.069,               0.041574,                0.99726,                      1,             0.00020667
                     32,               0.066738,               0.041378,                0.99863,                      1,              0.0001975
                     33,               0.067364,               0.041263,                0.99863,                      1,             0.00018833
                     34,               0.066014,               0.041408,                0.99863,                      1,             0.00017917
                     35,               0.064413,               0.041527,                0.99863,                      1,                0.00017
                     36,               0.060217,               0.041603,                0.99863,                      1,             0.00016083
                     37,               0.060696,               0.041657,                0.99863,                      1,             0.00015167
                     38,               0.065223,               0.041794,                0.99863,                      1,              0.0001425
                     39,                0.05524,                0.04199,                0.99863,                      1,             0.00013333
                     40,               0.055211,               0.041687,                0.99863,                      1,             0.00012417
                     41,               0.054303,               0.041629,                0.99863,                      1,               0.000115
                     42,                0.05268,               0.041475,                0.99863,                      1,             0.00010583
                     43,               0.055866,               0.041239,                0.99863,                      1,             9.6667e-05
                     44,               0.055272,               0.041052,                0.99863,                      1,               8.75e-05
                     45,               0.052443,               0.040895,                0.99863,                      1,             7.8333e-05
                     46,               0.052713,               0.040778,                0.99863,                      1,             6.9167e-05
                     47,               0.050056,               0.040598,                0.99863,                      1,                  6e-05
                     48,               0.049808,               0.040529,                0.99863,                      1,             5.0833e-05
                     49,               0.047371,               0.040411,                0.99863,                      1,             4.1667e-05
                     50,               0.045836,                0.04035,                0.99863,                      1,               3.25e-05
                     51,                0.04804,               0.040329,                0.99863,                      1,             2.3333e-05
                     52,               0.045464,               0.040301,                0.99863,                      1,             1.4167e-05
                     53,               0.044191,                0.04024,                0.99863,                      1,                  5e-06
