                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                0.38884,                0.46523,                0.91907,                      1,             0.00048875
                      1,                0.36328,                0.34471,                      1,                      1,              0.0004775
                      2,                0.35147,                0.33264,                0.99863,                      1,             0.00046625
                      3,                0.35258,                 0.3472,                0.99314,                      1,               0.000455
                      4,                0.35021,                0.34257,                0.99451,                      1,             0.00044375
                      5,                0.35046,                0.34505,                0.98903,                      1,              0.0004325
                      6,                0.34717,                0.33586,                0.99726,                      1,             0.00042125
                      7,                0.34786,                0.34849,                0.98217,                      1,                0.00041
                      8,                0.35338,                0.40828,                0.92181,                      1,             0.00039875
                      9,                0.34607,                0.35335,                0.98217,                      1,              0.0003875
                     10,                0.34991,                0.34483,                 0.9904,                      1,             0.00037625
                     11,                0.34672,                0.34169,                 0.9904,                      1,               0.000365
                     12,                0.34754,                0.33523,                0.99588,                      1,             0.00035375
                     13,                0.34582,                0.33593,                0.99588,                      1,              0.0003425
                     14,                0.34217,                0.33649,                0.98903,                      1,             0.00033125
                     15,                0.34118,                0.34759,                0.98903,                      1,                0.00032
                     16,                0.34302,                0.33365,                0.99451,                      1,             0.00030875
                     17,                 0.3436,                0.33343,                0.99451,                      1,              0.0002975
                     18,                0.34102,                0.32955,                0.99863,                      1,             0.00028625
                     19,                0.34307,                0.33923,                      1,                      1,               0.000275
                     20,                0.34106,                0.33021,                      1,                      1,             0.00026375
                     21,                0.34003,                0.33239,                0.99863,                      1,              0.0002525
                     22,                0.34048,                0.33222,                0.99726,                      1,             0.00024125
                     23,                0.34001,                0.33336,                0.99863,                      1,                0.00023
                     24,                0.33928,                0.33142,                0.99726,                      1,             0.00021875
                     25,                0.33717,                0.33287,                0.99863,                      1,              0.0002075
                     26,                0.33796,                0.33222,                0.99451,                      1,             0.00019625
                     27,                0.33798,                0.33199,                0.99451,                      1,               0.000185
                     28,                0.33496,                0.32662,                      1,                      1,             0.00017375
                     29,                0.33622,                0.32717,                      1,                      1,              0.0001625
                     30,                0.33594,                  0.327,                      1,                      1,             0.00015125
                     31,                0.33601,                0.33109,                0.99863,                      1,                0.00014
                     32,                0.33311,                0.32746,                      1,                      1,             0.00012875
                     33,                0.33235,                0.32671,                      1,                      1,              0.0001175
                     34,                0.33271,                0.33212,                0.99451,                      1,             0.00010625
                     35,                0.33261,                0.32703,                      1,                      1,                9.5e-05
                     36,                0.33249,                0.33031,                0.99588,                      1,              8.375e-05
                     37,                 0.3299,                 0.3277,                0.99863,                      1,               7.25e-05
                     38,                0.33027,                0.32959,                0.99863,                      1,              6.125e-05
                     39,                0.33006,                0.32722,                0.99863,                      1,                  5e-05
                     40,                 0.3306,                0.32776,                      1,                      1,              3.875e-05
                     41,                0.32862,                0.32682,                      1,                      1,               2.75e-05
                     42,                 0.3282,                0.32662,                      1,                      1,              1.625e-05
                     43,                0.32921,                0.32671,                      1,                      1,                  5e-06
