                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                0.29532,                 0.2499,                0.97668,                      1,              0.0009835
                      1,                0.25898,                0.22472,                0.99314,                      1,               0.000967
                      2,                0.24344,                0.23679,                0.97668,                      1,              0.0009505
                      3,                0.24303,                0.23346,                0.98765,                      1,               0.000934
                      4,                0.24056,                0.21395,                0.99726,                      1,              0.0009175
                      5,                0.24073,                0.23736,                0.98903,                      1,               0.000901
                      6,                0.23604,                0.22419,                0.98491,                      1,              0.0008845
                      7,                0.23549,                0.21706,                0.99726,                      1,               0.000868
                      8,                0.23529,                0.23174,                 0.9808,                      1,              0.0008515
                      9,                0.22852,                0.21952,                 0.9904,                      1,               0.000835
                     10,                0.23081,                0.23955,                0.97531,                      1,              0.0008185
                     11,                 0.2317,                0.20746,                      1,                      1,               0.000802
                     12,                0.23068,                0.20824,                      1,                      1,              0.0007855
                     13,                0.22881,                0.20996,                      1,                      1,               0.000769
                     14,                0.22876,                 0.2069,                      1,                      1,              0.0007525
                     15,                0.22362,                 0.2166,                 0.9904,                      1,               0.000736
                     16,                  0.227,                0.21178,                0.99451,                      1,              0.0007195
                     17,                0.22705,                0.21637,                0.99726,                      1,               0.000703
                     18,                0.22374,                0.21127,                0.99451,                      1,              0.0006865
                     19,                0.22783,                0.24983,                0.97119,                      1,                0.00067
                     20,                0.22596,                 0.2198,                      1,                      1,              0.0006535
                     21,                0.22675,                0.21502,                0.99314,                      1,               0.000637
                     22,                0.22636,                0.23174,                0.98217,                      1,              0.0006205
                     23,                0.22732,                0.22038,                0.98765,                      1,               0.000604
                     24,                0.22549,                0.21026,                0.99314,                      1,              0.0005875
                     25,                0.21524,                0.20978,                0.99451,                      1,               0.000571
                     26,                0.21975,                0.21774,                0.99177,                      1,              0.0005545
                     27,                0.22219,                0.20593,                0.99863,                      1,               0.000538
                     28,                0.22005,                0.21311,                 0.9904,                      1,              0.0005215
                     29,                 0.2168,                0.21035,                0.99451,                      1,               0.000505
                     30,                0.22056,                0.23058,                0.98491,                      1,              0.0004885
                     31,                0.21955,                0.20897,                0.99726,                      1,               0.000472
                     32,                0.21579,                0.21816,                0.98628,                      1,              0.0004555
                     33,                0.21556,                0.21746,                0.98628,                      1,               0.000439
                     34,                0.21561,                0.20929,                0.99588,                      1,              0.0004225
                     35,                 0.2161,                0.20875,                0.99726,                      1,               0.000406
                     36,                0.21482,                 0.2048,                0.99726,                      1,              0.0003895
                     37,                0.21194,                0.21271,                0.99314,                      1,               0.000373
                     38,                0.21556,                0.21859,                0.98628,                      1,              0.0003565
                     39,                0.21422,                 0.2045,                0.99726,                      1,                0.00034
                     40,                0.21491,                0.22191,                0.98628,                      1,              0.0003235
                     41,                0.21039,                 0.2019,                0.99863,                      1,               0.000307
                     42,                0.20987,                0.20143,                      1,                      1,              0.0002905
                     43,                0.21342,                0.20449,                0.99863,                      1,               0.000274
                     44,                0.20919,                0.20247,                0.99863,                      1,              0.0002575
                     45,                0.20987,                0.20287,                0.99863,                      1,               0.000241
                     46,                0.20959,                0.20056,                      1,                      1,              0.0002245
                     47,                0.20759,                0.20217,                      1,                      1,               0.000208
                     48,                0.20972,                0.20385,                0.99863,                      1,              0.0001915
                     49,                0.20894,                0.21004,                 0.9904,                      1,               0.000175
                     50,                0.20753,                0.20963,                0.99314,                      1,              0.0001585
                     51,                0.20637,                0.21476,                0.98628,                      1,               0.000142
                     52,                0.20625,                0.20652,                0.99451,                      1,              0.0001255
                     53,                0.20488,                0.20356,                0.99726,                      1,               0.000109
                     54,                0.20544,                0.20441,                0.99726,                      1,               9.25e-05
                     55,                0.20735,                 0.2117,                0.98903,                      1,                7.6e-05
                     56,                0.20421,                 0.2094,                0.99177,                      1,               5.95e-05
                     57,                0.20519,                0.20871,                 0.9904,                      1,                4.3e-05
                     58,                0.20471,                0.20583,                0.99588,                      1,               2.65e-05
                     59,                0.20498,                0.20651,                0.99588,                      1,                  1e-05
