                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                0.29778,                0.26277,                0.96433,                      1,              0.0009802
                      1,                0.25211,                0.22171,                0.99314,                      1,              0.0009604
                      2,                 0.2434,                0.23307,                0.98217,                      1,              0.0009406
                      3,                0.24177,                0.24231,                0.97942,                      1,              0.0009208
                      4,                0.23783,                0.21946,                0.98765,                      1,               0.000901
                      5,                0.23202,                0.21201,                0.99726,                      1,              0.0008812
                      6,                0.23435,                0.21517,                0.99451,                      1,              0.0008614
                      7,                0.22848,                0.20993,                      1,                      1,              0.0008416
                      8,                0.22951,                0.21068,                0.99726,                      1,              0.0008218
                      9,                0.22516,                0.20603,                0.99863,                      1,               0.000802
                     10,                0.22999,                0.22664,                0.98354,                      1,              0.0007822
                     11,                0.23493,                 0.2139,                0.99863,                      1,              0.0007624
                     12,                0.22772,                0.22006,                0.98903,                      1,              0.0007426
                     13,                0.22492,                0.22084,                0.98628,                      1,              0.0007228
                     14,                0.22876,                0.21139,                0.99588,                      1,               0.000703
                     15,                0.22149,                0.20984,                0.99588,                      1,              0.0006832
                     16,                0.22729,                0.20999,                0.99451,                      1,              0.0006634
                     17,                0.22598,                0.20873,                0.99726,                      1,              0.0006436
                     18,                0.22402,                0.20885,                0.99863,                      1,              0.0006238
                     19,                0.22039,                0.20946,                0.99863,                      1,               0.000604
                     20,                0.22302,                0.20571,                0.99863,                      1,              0.0005842
                     21,                0.21935,                0.22673,                0.98903,                      1,              0.0005644
                     22,                0.22091,                0.21089,                0.99588,                      1,              0.0005446
                     23,                0.22449,                0.20543,                      1,                      1,              0.0005248
                     24,                0.22023,                0.20606,                0.99726,                      1,               0.000505
                     25,                0.21881,                0.20392,                0.99863,                      1,              0.0004852
                     26,                 0.2166,                0.20663,                0.99451,                      1,              0.0004654
                     27,                0.21588,                0.20577,                0.99451,                      1,              0.0004456
                     28,                0.21456,                0.20119,                      1,                      1,              0.0004258
                     29,                0.21821,                0.21227,                0.99177,                      1,               0.000406
                     30,                0.21413,                0.20753,                0.99588,                      1,              0.0003862
                     31,                0.21282,                0.20773,                0.99588,                      1,              0.0003664
                     32,                0.21146,                0.20305,                      1,                      1,              0.0003466
                     33,                0.21242,                0.20566,                0.99863,                      1,              0.0003268
                     34,                0.21126,                0.20516,                0.99726,                      1,               0.000307
                     35,                0.21151,                0.20885,                0.99177,                      1,              0.0002872
                     36,                0.21121,                0.20997,                 0.9904,                      1,              0.0002674
                     37,                0.20917,                0.20293,                0.99863,                      1,              0.0002476
                     38,                0.20873,                0.20469,                0.99588,                      1,              0.0002278
                     39,                0.20591,                0.20298,                0.99863,                      1,               0.000208
                     40,                0.20905,                 0.2047,                0.99863,                      1,              0.0001882
                     41,                 0.2069,                0.20348,                0.99863,                      1,              0.0001684
                     42,                0.20871,                0.20174,                      1,                      1,              0.0001486
                     43,                0.20588,                0.20172,                      1,                      1,              0.0001288
                     44,                0.20633,                0.20131,                      1,                      1,               0.000109
                     45,                0.20685,                0.20521,                0.99726,                      1,               8.92e-05
                     46,                0.20423,                0.20774,                0.99314,                      1,               6.94e-05
                     47,                0.20499,                0.21153,                0.98765,                      1,               4.96e-05
                     48,                0.20396,                0.20552,                0.99588,                      1,               2.98e-05
                     49,                0.20384,                0.20915,                0.98903,                      1,                  1e-05
