                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                0.42694,                0.79833,                0.77366,                      1,             0.00098167
                      1,                0.32061,                0.37081,                0.79012,                      1,             0.00096333
                      2,                0.29048,                0.13156,                0.96708,                      1,               0.000945
                      3,                0.27541,                0.82619,                0.81893,                      1,             0.00092667
                      4,                0.26856,                0.21504,                0.96571,                      1,             0.00090833
                      5,                 0.2846,                0.14555,                 0.9561,                      1,                0.00089
                      6,                0.25239,               0.093376,                0.98491,                      1,             0.00087167
                      7,                 0.2466,                0.22029,                0.93416,                      1,             0.00085333
                      8,                0.21735,                 1.2423,                0.82167,                      1,               0.000835
                      9,                0.22718,                0.15699,                0.95062,                      1,             0.00081667
                     10,                0.20295,               0.073986,                0.98903,                      1,             0.00079833
                     11,                0.20686,               0.099241,                0.97942,                      1,                0.00078
                     12,                0.21061,               0.093852,                0.97805,                      1,             0.00076167
                     13,                0.19553,               0.066214,                0.98903,                      1,             0.00074333
                     14,                0.18834,               0.072044,                 0.9904,                      1,               0.000725
                     15,                0.20259,               0.069954,                0.98903,                      1,             0.00070667
                     16,                0.18261,               0.063759,                0.99314,                      1,             0.00068833
                     17,                0.17568,               0.066776,                0.98628,                      1,                0.00067
                     18,                0.17021,               0.061081,                0.98903,                      1,             0.00065167
                     19,                0.15972,               0.070432,                0.98628,                      1,             0.00063333
                     20,                0.16206,               0.057374,                0.99588,                      1,               0.000615
                     21,                0.14507,                0.05505,                0.99451,                      1,             0.00059667
                     22,                0.15513,               0.053597,                0.99588,                      1,             0.00057833
                     23,                0.14501,               0.055727,                0.99588,                      1,                0.00056
                     24,                0.13789,               0.055335,                0.99451,                      1,             0.00054167
                     25,                0.13382,               0.055691,                0.99451,                      1,             0.00052333
                     26,                0.12046,               0.055204,                0.99314,                      1,               0.000505
                     27,                0.13432,               0.055581,                0.99451,                      1,             0.00048667
                     28,                0.12472,               0.055048,                0.99451,                      1,             0.00046833
                     29,                0.12446,               0.054344,                0.99314,                      1,                0.00045
                     30,                0.11189,               0.053837,                0.99314,                      1,             0.00043167
                     31,                0.11469,               0.053869,                0.99314,                      1,             0.00041333
                     32,                0.10851,               0.053514,                0.99314,                      1,               0.000395
                     33,                0.10719,               0.053178,                0.99314,                      1,             0.00037667
                     34,                0.11117,               0.052725,                0.99314,                      1,             0.00035833
                     35,                0.10361,               0.052583,                0.99588,                      1,                0.00034
                     36,               0.093404,               0.052395,                0.99451,                      1,             0.00032167
                     37,               0.096348,               0.052054,                0.99588,                      1,             0.00030333
                     38,                0.10322,               0.051846,                0.99588,                      1,               0.000285
                     39,               0.091678,               0.051752,                0.99588,                      1,             0.00026667
                     40,               0.089116,               0.051642,                0.99588,                      1,             0.00024833
                     41,               0.085761,               0.051109,                0.99588,                      1,                0.00023
                     42,               0.085411,               0.050665,                0.99588,                      1,             0.00021167
                     43,               0.083531,               0.050481,                0.99588,                      1,             0.00019333
                     44,               0.082721,               0.050343,                0.99726,                      1,               0.000175
                     45,               0.076104,               0.050241,                0.99726,                      1,             0.00015667
                     46,               0.073666,               0.049989,                0.99726,                      1,             0.00013833
                     47,               0.075064,               0.049637,                0.99726,                      1,                0.00012
                     48,               0.074301,               0.049415,                0.99726,                      1,             0.00010167
                     49,               0.071457,                0.04922,                0.99726,                      1,             8.3333e-05
                     50,               0.066963,               0.049101,                0.99863,                      1,                6.5e-05
                     51,               0.067885,               0.049049,                0.99863,                      1,             4.6667e-05
                     52,               0.063631,               0.048566,                0.99863,                      1,             2.8333e-05
                     53,                0.06073,               0.048437,                0.99863,                      1,                  1e-05
